index,L,R,P_high,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
867,1.69 ,0.16 ,20.00 ,0.000990510 ,0.000989800 ,0.001025840 ,0.110333640 ,0.247641600 ,0.297651930 ,0.316963560 ,0.324697860 ,0.327836810 ,0.329116370 ,0.329638660 ,0.329851890 ,0.329938940 ,0.329974480 ,0.329988990 ,0.329994910 ,0.329997340 ,0.329998330 ,0.329998740 
5,1.13 ,0.29 ,18.00 ,0.000988800 ,0.001360550 ,0.135213090 ,0.256214080 ,0.300784850 ,0.318175450 ,0.325177410 ,0.328028420 ,0.329193390 ,0.329669830 ,0.329864660 ,0.329944310 ,0.329976870 ,0.329990170 ,0.329995610 ,0.329997830 ,0.329998740 ,0.329999110 ,0.329999270 
60,1.63 ,0.16 ,12.00 ,0.000984970 ,0.000983880 ,0.000982730 ,0.000981590 ,0.000980440 ,0.001055680 ,0.052118070 ,0.212284690 ,0.281751130 ,0.309727330 ,0.321388240 ,0.326325340 ,0.328428190 ,0.329325950 ,0.329709630 ,0.329873730 ,0.329943970 ,0.329974040 ,0.329986940 
402,1.54 ,0.20 ,16.00 ,0.000988200 ,0.000987330 ,0.000986430 ,0.002144620 ,0.146545060 ,0.258881060 ,0.301329830 ,0.318213220 ,0.325119480 ,0.327973840 ,0.329157680 ,0.329649210 ,0.329853370 ,0.329938160 ,0.329973380 ,0.329988030 ,0.329994110 ,0.329996650 ,0.329997720 
844,1.70 ,0.27 ,15.00 ,0.000987760 ,0.000986850 ,0.000985900 ,0.000984980 ,0.002262540 ,0.140171530 ,0.255577750 ,0.299778410 ,0.317484250 ,0.324778320 ,0.327815120 ,0.329084180 ,0.329615200 ,0.329837520 ,0.329930620 ,0.329969620 ,0.329985970 ,0.329992840 ,0.329995720 
29,1.78 ,0.13 ,17.00 ,0.000989140 ,0.000988330 ,0.000987470 ,0.000993970 ,0.056220310 ,0.222164870 ,0.287379440 ,0.312640520 ,0.322847110 ,0.327040310 ,0.328773120 ,0.329490600 ,0.329787850 ,0.329911030 ,0.329962080 ,0.329983250 ,0.329992020 ,0.329995680 ,0.329997200 
53,1.99 ,0.29 ,19.00 ,0.000990380 ,0.000989650 ,0.000988870 ,0.000998010 ,0.072082870 ,0.231177990 ,0.291161820 ,0.314279470 ,0.323566440 ,0.327356690 ,0.328912080 ,0.329551520 ,0.329814530 ,0.329922740 ,0.329967260 ,0.329985580 ,0.329993130 ,0.329996240 ,0.329997530 
80,1.46 ,0.28 ,19.00 ,0.000989710 ,0.000989000 ,0.004352820 ,0.172221040 ,0.269566870 ,0.305858810 ,0.320183150 ,0.325983330 ,0.328353150 ,0.329324190 ,0.329722360 ,0.329885640 ,0.329952580 ,0.329980030 ,0.329991280 ,0.329995890 ,0.329997790 ,0.329998570 ,0.329998900 
268,1.62 ,0.25 ,9.00 ,0.000980740 ,0.000979330 ,0.000977900 ,0.000976470 ,0.000975050 ,0.000973610 ,0.000972160 ,0.000973090 ,0.002670960 ,0.093905230 ,0.228050450 ,0.286411560 ,0.311041400 ,0.321684740 ,0.326337850 ,0.328382310 ,0.329282800 ,0.329680060 ,0.329855540 
66,1.95 ,0.27 ,11.00 ,0.000984680 ,0.000983540 ,0.000982340 ,0.000981160 ,0.000979970 ,0.000978770 ,0.000977550 ,0.000980630 ,0.005123950 ,0.139728730 ,0.251398640 ,0.296895680 ,0.315826470 ,0.323888270 ,0.327355120 ,0.328851880 ,0.329499290 ,0.329779650 ,0.329901190 
