,index,L,R,P_high,t1,t2,t3,t4,t5
772,709,2.19,0.36,15,0.28086405,0.30482025,0.31740454,0.32380898,0.32699888
773,929,8.17,0.34,7,0.19797473,0.19773665,0.19802448,0.19935291,0.20250159
774,371,6.47,0.34,20,0.2364747,0.27063928,0.29478211,0.30995322,0.31892164
775,579,3.57,0.36,13,0.24097669,0.27308155,0.29584936,0.31031534,0.31897448
776,966,5.06,0.29,14,0.22415733,0.2546992,0.28080402,0.29954731,0.31183988
777,162,7.39,0.47,12,0.201749,0.21243103,0.23072829,0.25261582,0.27348778
778,531,4.52,0.45,6,0.19766237,0.20025407,0.2069612,0.21860282,0.23444786
779,320,4.56,0.33,19,0.2566999,0.28815712,0.30715534,0.31788759,0.32371793
780,161,2.33,0.39,11,0.2549779,0.28527618,0.30458107,0.31599439,0.32245687
781,562,6.85,0.35,6,0.19748484,0.19718246,0.19747699,0.19887448,0.20212829
782,777,4.89,0.28,20,0.25631874,0.28802615,0.3071306,0.31789872,0.32373617
783,653,5.9,0.38,12,0.20749414,0.2270888,0.25158479,0.2745621,0.2928557
784,917,2.42,0.15,15,0.27581185,0.30148288,0.31540919,0.32268203,0.32638646
785,599,2.8,0.14,7,0.21183263,0.23422594,0.25891921,0.28059672,0.29724543
786,737,1.75,0.43,10,0.26487123,0.29302552,0.30978532,0.31922303,0.32436184
787,501,4.95,0.19,9,0.20280444,0.21536019,0.23479575,0.25673145,0.27696551
788,586,5.39,0.25,16,0.23049161,0.26298647,0.28820195,0.30513939,0.31569755
789,166,4.98,0.4,12,0.21469523,0.24032627,0.26657022,0.28795439,0.30335539
790,321,3.3,0.29,14,0.25233349,0.28363691,0.30368584,0.31554398,0.32224675
791,176,6.02,0.42,14,0.21438596,0.24066731,0.26738025,0.28888153,0.30418504
792,595,8.49,0.2,6,0.19774818,0.19727375,0.19702069,0.19705993,0.19761405
793,331,4.55,0.38,5,0.19652639,0.196905,0.19922519,0.20454489,0.2136546
794,388,1.34,0.39,14,0.29635517,0.31406226,0.32254749,0.32655055,0.32841676
795,223,5.24,0.23,19,0.24711692,0.28023488,0.30171294,0.31447025,0.32168889
796,571,2.08,0.34,13,0.27401452,0.30008006,0.31447963,0.32211511,0.32605831
797,83,3.68,0.23,16,0.25636709,0.28735531,0.30640889,0.31733539,0.32335199
798,239,2.65,0.39,16,0.27569389,0.30151956,0.31547896,0.3227431,0.3264298
799,984,6.39,0.11,14,0.21155441,0.23580203,0.26220608,0.28447568,0.3008581
800,837,3.7,0.24,15,0.2505999,0.28236603,0.30287628,0.31506446,0.32197603
801,378,9.93,0.43,10,0.19870178,0.19915057,0.20138436,0.20681485,0.21652914
802,315,3.5,0.37,18,0.26894948,0.29711028,0.31286509,0.32127753,0.32563877
803,761,2.74,0.3,14,0.26396696,0.29294591,0.30999772,0.31948009,0.32457528
804,555,4.28,0.39,20,0.26501161,0.29455203,0.31135524,0.32043344,0.32518416
805,731,6.56,0.49,18,0.22681606,0.2595137,0.28562815,0.30343234,0.31463654
806,950,7.77,0.3,15,0.20694369,0.22713771,0.25243366,0.27583092,0.29415437
807,596,7.3,0.32,9,0.19872913,0.20093228,0.20712728,0.21848532,0.23442635
808,951,2.81,0.22,10,0.23539321,0.26651344,0.29026015,0.30620241,0.31618651
809,159,5.8,0.38,19,0.23989839,0.27366445,0.2969422,0.31135051,0.31977318
810,770,6.46,0.16,16,0.21908602,0.2486663,0.27563944,0.29574532,0.30926736
811,727,2.52,0.41,9,0.2342821,0.26508294,0.28896787,0.30520826,0.31548711
812,659,3.02,0.16,19,0.28078649,0.30508764,0.31768597,0.32401862,0.32713478
813,303,2.78,0.22,12,0.25077998,0.28189024,0.30227228,0.31454818,0.32159804
814,901,3.82,0.35,14,0.24260924,0.27489411,0.29732378,0.31136132,0.31966105
815,580,4.72,0.38,17,0.24476333,0.27765789,0.29967665,0.31306665,0.3207934
816,787,9.61,0.37,17,0.20462822,0.22266425,0.24731237,0.27128445,0.2906352
817,5,1.15,0.47,16,0.30612816,0.31937305,0.32530431,0.32793803,0.32909935
818,946,6.67,0.17,15,0.21332835,0.2393516,0.26623538,0.28803791,0.30361729
819,643,7.62,0.42,6,0.19760834,0.19718892,0.19710768,0.19760278,0.19913873
820,893,1.75,0.49,8,0.2483898,0.27886733,0.29963435,0.31257688,0.32024632
821,722,6.71,0.42,20,0.23386944,0.26801892,0.29277732,0.30859427,0.31806288
822,765,2.02,0.16,6,0.21926323,0.24578392,0.27098459,0.29092165,0.30513136
823,564,9.36,0.37,13,0.20005797,0.20615725,0.21935683,0.2383,0.2591152
824,581,8.04,0.29,5,0.19735817,0.19669115,0.19624704,0.19598562,0.19594296
825,655,6.19,0.11,20,0.23968411,0.27375708,0.2971245,0.31152154,0.319903
826,785,3.72,0.43,6,0.19907929,0.20592482,0.218933,0.23677446,0.25641737
827,967,1.53,0.25,17,0.30105163,0.31676273,0.32400969,0.32731202,0.32880239
828,794,5.91,0.46,8,0.19877284,0.20225085,0.21064915,0.22448182,0.24220025
829,374,8.19,0.3,8,0.19824048,0.19838921,0.19977319,0.20346394,0.21056328
830,379,9.08,0.48,20,0.21421952,0.24342035,0.27150744,0.2929175,0.30747507
831,926,8.35,0.27,5,0.19742968,0.19675535,0.19629694,0.19600467,0.19588975
