index,L,R,P_high,t1,t2,t3,t4,t5
915,5.03,0.23,8,0.0009912,0.00099108,0.00099096,0.00099084,0.00099072
954,2.17,0.18,14,0.00098796,0.00098787,0.00098778,0.00098769,0.0009876
729,5.8,0.23,20,0.00099423,0.00099417,0.00099411,0.00099405,0.00099399
45,5.95,0.31,11,0.00099329,0.00099321,0.00099312,0.00099303,0.00099294
756,7.14,0.17,9,0.0009948,0.00099471,0.00099462,0.00099454,0.00099445
743,5.47,0.24,17,0.00099353,0.00099346,0.00099339,0.00099332,0.00099325
539,3.88,0.2,18,0.00099217,0.0009921,0.00099203,0.00099196,0.00099189
900,9.27,0.21,10,0.00099682,0.00099671,0.00099662,0.00099654,0.00099648
339,3.4,0.34,16,0.00099096,0.00099088,0.0009908,0.00099072,0.00099065
868,6.35,0.25,19,0.00099451,0.00099445,0.00099439,0.00099433,0.00099426
627,7.96,0.43,19,0.00099558,0.00099552,0.00099546,0.0009954,0.00099534
839,1.4,0.16,13,0.00098529,0.0009852,0.0009851,0.000985,0.0009849
869,9.74,0.13,15,0.00099673,0.00099666,0.00099659,0.00099652,0.00099646
559,6.36,0.2,15,0.00099414,0.00099407,0.00099399,0.00099392,0.00099385
63,4.19,0.34,19,0.00099274,0.00099267,0.00099261,0.00099254,0.00099247
138,2.58,0.35,18,0.00099073,0.00099065,0.00099058,0.00099051,0.00099043
875,4.64,0.28,11,0.00099121,0.00099112,0.00099102,0.00099092,0.00099082
36,7.2,0.26,12,0.00099486,0.00099477,0.0009947,0.00099462,0.00099454
715,9.61,0.12,15,0.00099665,0.00099658,0.00099651,0.00099644,0.00099638
923,3.58,0.49,20,0.00099243,0.00099237,0.0009923,0.00099224,0.00099217
733,1.96,0.42,8,0.00098035,0.00098019,0.00098004,0.00097989,0.00097974
487,7.59,0.33,19,0.00099536,0.0009953,0.00099524,0.00099518,0.00099512
42,3.63,0.15,6,0.00098561,0.00098542,0.00098523,0.00098504,0.00098486
294,3.6,0.3,8,0.00098728,0.00098714,0.000987,0.00098686,0.00098672
840,4.04,0.27,12,0.00099046,0.00099036,0.00099027,0.00099017,0.00099007
305,9.48,0.2,14,0.00099664,0.00099656,0.00099648,0.00099641,0.00099635
295,6.32,0.26,17,0.00099429,0.00099422,0.00099416,0.00099409,0.00099402
654,9.89,0.17,16,0.00099674,0.00099669,0.00099662,0.00099655,0.00099649
549,8.01,0.25,17,0.00099557,0.00099551,0.00099544,0.00099538,0.00099532
201,2.97,0.35,16,0.00099035,0.00099028,0.0009902,0.00099012,0.00099004
354,6.04,0.21,7,0.00099297,0.00099286,0.00099275,0.00099263,0.00099252
90,7.58,0.31,10,0.00099529,0.00099521,0.00099512,0.00099505,0.00099497
108,8.97,0.33,9,0.00099661,0.0009965,0.00099641,0.00099634,0.00099627
956,3.98,0.17,13,0.00099069,0.0009906,0.00099051,0.00099042,0.00099033
310,3.9,0.13,12,0.00099016,0.00099007,0.00098997,0.00098988,0.00098978
970,9.03,0.16,14,0.00099634,0.00099626,0.00099619,0.00099612,0.00099606
10,9.94,0.34,8,0.00099728,0.00099716,0.00099706,0.00099698,0.00099692
11,5.96,0.15,17,0.00099397,0.00099391,0.00099384,0.00099377,0.0009937
408,9.78,0.5,19,0.00099657,0.00099652,0.00099646,0.0009964,0.00099635
492,6.09,0.12,19,0.00099433,0.00099426,0.0009942,0.00099414,0.00099408
514,8.35,0.29,9,0.00099607,0.00099597,0.00099589,0.00099582,0.00099575
582,2.55,0.23,7,0.00098181,0.00098164,0.00098147,0.00098129,0.00098112
301,7.66,0.37,10,0.00099538,0.00099529,0.00099521,0.00099513,0.00099505
