,index,results
46,80.pickle,"1.46, 0.28, 19, 0.00098971, 0.000989  , 0.00435282, 0.17222104, 0.26956687,       0.30585881, 0.32018315, 0.32598333, 0.32835315, 0.32932419,       0.32972236, 0.32988564, 0.32995258, 0.32998003, 0.32999128,       0.32999589, 0.32999779, 0.32999857, 0.3299989 "
47,268.pickle,"1.62, 0.25, 9, 0.00098074, 0.00097933, 0.0009779 , 0.00097647, 0.00097505,       0.00097361, 0.00097216, 0.00097309, 0.00267096, 0.09390523,       0.22805045, 0.28641156, 0.3110414 , 0.32168474, 0.32633785,       0.32838231, 0.3292828 , 0.32968006, 0.32985554"
48,66.pickle,"1.95, 0.27, 11, 0.00098468, 0.00098354, 0.00098234, 0.00098116, 0.00097997,       0.00097877, 0.00097755, 0.00098063, 0.00512395, 0.13972873,       0.25139864, 0.29689568, 0.31582647, 0.32388827, 0.32735512,       0.32885188, 0.32949929, 0.32977965, 0.32990119"
49,845.pickle,"1.41, 0.15, 18, 0.00098912, 0.00098836, 0.00243889, 0.15291262, 0.26209217,       0.30284597, 0.31892715, 0.32545342, 0.3281288 , 0.32922913,       0.32968208, 0.32986856, 0.32994532, 0.32997691, 0.32998991,       0.32999526, 0.32999747, 0.32999839, 0.32999877"
50,476.pickle,"1.56, 0.22, 8, 0.00097844, 0.00097687, 0.00097528, 0.00097372, 0.00097215,       0.00097059, 0.000969  , 0.0009674 , 0.00097633, 0.00412667,       0.10456769, 0.23118761, 0.28706957, 0.31106685, 0.32158529,       0.32624486, 0.32831905, 0.32924477, 0.3296587 "
51,249.pickle,"1.91, 0.27, 14, 0.00098738, 0.00098643, 0.00098544, 0.00098445, 0.00098345,       0.00104747, 0.06279494, 0.22097192, 0.28588991, 0.31167996,       0.32230836, 0.32675672, 0.32862919, 0.32941908, 0.32975259,       0.32989348, 0.32995304, 0.32997823, 0.32998891"
52,470.pickle,"1.84, 0.13, 5, 0.00097101, 0.0009683 , 0.0009661 , 0.00096403, 0.00096203,       0.00096006, 0.00095806, 0.00095607, 0.00095404, 0.00095198,       0.0009499 , 0.00094776, 0.0009456 , 0.0009434 , 0.00094113,       0.00093885, 0.0009366 , 0.00093777, 0.00108942"
53,846.pickle,"2.21, 0.27, 19, 0.00099068, 0.00098995, 0.00098919, 0.00098842, 0.00171777,       0.15118842, 0.26193423, 0.30288424, 0.31897307, 0.32548217,       0.3281437 , 0.32923597, 0.32968476, 0.32986924, 0.32994508,       0.32997627, 0.32998911, 0.3299944 , 0.32999658"
54,280.pickle,"1.52, 0.22, 8, 0.00097824, 0.00097667, 0.00097507, 0.0009735 , 0.00097193,       0.00097035, 0.00096875, 0.00096724, 0.00103223, 0.01209778,       0.15280698, 0.25351761, 0.29661361, 0.31524007, 0.32343405,       0.32706881, 0.32868745, 0.3294099 , 0.3297329 "
55,16.pickle,"2.08, 0.17, 19, 0.00099055, 0.00098981, 0.00098904, 0.00098843, 0.02556263,       0.20757103, 0.2825143 , 0.31090105, 0.32221015, 0.32680682,       0.32868837, 0.32946036, 0.32977734, 0.32990752, 0.32996099,       0.32998296, 0.32999199, 0.32999571, 0.32999725"
56,452.pickle,"1.91, 0.23, 6, 0.00097526, 0.00097315, 0.00097125, 0.00096944, 0.00096766,       0.00096589, 0.00096412, 0.00096232, 0.00096049, 0.00095864,       0.00095675, 0.00095483, 0.00095286, 0.00095087, 0.00094916,       0.00097381, 0.00269489, 0.03847183, 0.1771801 "
57,48.pickle,"2.08, 0.17, 17, 0.00098961, 0.00098881, 0.00098797, 0.00098712, 0.00099292,       0.06294945, 0.22579952, 0.28878736, 0.31321116, 0.32308271,       0.32713785, 0.3288133 , 0.3295069 , 0.32979424, 0.32991332,       0.32996269, 0.32998316, 0.32999166, 0.3299952 "
58,606.pickle,"2.34, 0.22, 19, 0.00099082, 0.00099009, 0.00098933, 0.00098857, 0.00099416,       0.07287942, 0.23181567, 0.29142638, 0.31439016, 0.32361261,       0.32737559, 0.32891952, 0.32955421, 0.32981528, 0.32992269,       0.32996691, 0.32998512, 0.32999262, 0.32999572"
59,242.pickle,"2.01, 0.29, 14, 0.00098767, 0.00098672, 0.00098574, 0.00098476, 0.00098377,       0.00098337, 0.00910592, 0.17765285, 0.26943638, 0.30510801,       0.31960933, 0.32563639, 0.3281623 , 0.32922413, 0.32967105,       0.32985928, 0.32993859, 0.32997203, 0.32998616"
